OBJECTID,BUA11,BUASD11,CALNCV,CED,CTRY,DOINTR,DOTERM,ICB,IMD,ITL,LAT,LEP1,LEP2,LONG,LSOA11,LSOA21,MSOA11,MSOA21,NHSER,OA11,OA21,OAC11,OSCTY,OSEAST1M,OSGRDIND,OSHLTHAU,OSLAUA,OSNRTH1M,OSWARD,PARISH,PARK,PCD,PCD2,PCDS,PCON,PFA,RGN,RU11IND,RUC21IND,SICBL,TTWA,USERTYPE,WZ11
"1140344",E630,E35999999,E56000035,E58001419,E92000001,"201308",,E54000022,"64",E07000244,52.4830017089844,E37000052,,1.75555801391602,E01030247,E01030247,E02006308,E02006308,E40000007,E00154272,E00154272,7A2,E10000029,"655093","1",E18000006,E07000244,"0293860",E05012745,E04012678,E65000001,NR321AD,NR32 1AD,NR32 1AD,E14001344,E23000025,E12000006,C1,UF1,E38000239,E30000235,"0",E33024871
"1140346",E630,E35999999,E56000035,E58001419,E92000001,"201704",,E54000022,"64",E07000244,52.4829559326172,E37000052,,1.75475800037384,E01030247,E01030247,E02006308,E02006308,E40000007,E00154272,E00154272,7A2,E10000029,"655039","1",E18000006,E07000244,"0293852",E05012745,E04012678,E65000001,NR321AF,NR32 1AF,NR32 1AF,E14001344,E23000025,E12000006,C1,UF1,E38000239,E30000235,"0",E33024871
"1140347",E630,E35999999,E56000035,E58001419,E92000001,"202402",,E54000022,"64",E07000244,52.4800109863281,E37000052,,1.75484597682953,E01030247,E01030247,E02006308,E02006308,E40000007,E00154286,E00187875,7A1,E10000029,"655062","1",E18000006,E07000244,"0293525",E05012745,E04012678,E65000001,NR321AL,NR32 1AL,NR32 1AL,E14001344,E23000025,E12000006,C1,UF1,E38000239,E30000235,"0",E33024879
"1140352",E630,E35999999,E56000035,E58001419,E92000001,"198001",,E54000022,"64",E07000244,52.473991394043,E37000052,,1.75174105167389,E01030247,E01030247,E02006308,E02006308,E40000007,E00154286,E00187875,7A1,E10000029,"654886","1",E18000006,E07000244,"0292845",E05012745,E04012678,E65000001,NR321BN,NR32 1BN,NR32 1BN,E14001344,E23000025,E12000006,C1,UF1,E38000239,E30000235,"0",E33024878
"1140353",E630,E35999999,E56000035,E58001419,E92000001,"198001",,E54000022,"64",E07000244,52.4739837646484,E37000052,,1.7520489692688,E01030247,E01030247,E02006308,E02006308,E40000007,E00154286,E00187875,7A1,E10000029,"654907","1",E18000006,E07000244,"0292845",E05012745,E04012678,E65000001,NR321BT,NR32 1BT,NR32 1BT,E14001344,E23000025,E12000006,C1,UF1,E38000239,E30000235,"0",E33024878
"1140354",E630,E35999999,E56000035,E58001419,E92000001,"198001",,E54000022,"64",E07000244,52.4742202758789,E37000052,,1.75419104099274,E01030247,E01030247,E02006308,E02006308,E40000007,E00154286,E00187875,7A1,E10000029,"655051","1",E18000006,E07000244,"0292879",E05012745,E04012678,E65000001,NR321BU,NR32 1BU,NR32 1BU,E14001344,E23000025,E12000006,C1,UF1,E38000239,E30000235,"0",E33024881
"1140355",E630,E35999999,E56000035,E58001419,E92000001,"198001",,E54000022,"64",E07000244,52.4741401672363,E37000052,,1.75419902801514,E01030247,E01030247,E02006308,E02006308,E40000007,E00154286,E00187875,7A1,E10000029,"655052","1",E18000006,E07000244,"0292870",E05012745,E04012678,E65000001,NR321BY,NR32 1BY,NR32 1BY,E14001344,E23000025,E12000006,C1,UF1,E38000239,E30000235,"0",E33024881
"1140356",E630,E35999999,E56000035,E58001419,E92000001,"198001",,E54000022,"64",E07000244,52.4740905761719,E37000052,,1.75325202941895,E01030247,E01030247,E02006308,E02006308,E40000007,E00154286,E00187875,7A1,E10000029,"654988","1",E18000006,E07000244,"0292861",E05012745,E04012678,E65000001,NR321BZ,NR32 1BZ,NR32 1BZ,E14001344,E23000025,E12000006,C1,UF1,E38000239,E30000235,"0",E33024878
"1140358",E630,E35999999,E56000035,E58001419,E92000001,"198001",,E54000022,"64",E07000244,52.4755668640137,E37000052,,1.75462901592255,E01030247,E01030247,E02006308,E02006308,E40000007,E00154286,E00187875,7A1,E10000029,"655073","1",E18000006,E07000244,"0293030",E05012745,E04012678,E65000001,NR321DH,NR32 1DH,NR32 1DH,E14001344,E23000025,E12000006,C1,UF1,E38000239,E30000235,"0",E33024881
"1140359",E630,E35999999,E56000035,E58001419,E92000001,"201611",,E54000022,"64",E07000244,52.4753875732422,E37000052,,1.75374495983124,E01030247,E01030247,E02006308,E02006308,E40000007,E00154286,E00187875,7A1,E10000029,"655014","1",E18000006,E07000244,"0293007",E05012745,E04012678,E65000001,NR321DL,NR32 1DL,NR32 1DL,E14001344,E23000025,E12000006,C1,UF1,E38000239,E30000235,"0",E33024877
"1140361",E630,E35999999,E56000035,E58001419,E92000001,"201002",,E54000022,"64",E07000244,52.4743576049805,E37000052,,1.75361299514771,E01030247,E01030247,E02006308,E02006308,E40000007,E00154286,E00187875,7A1,E10000029,"655011","1",E18000006,E07000244,"0292892",E05012745,E04012678,E65000001,NR321DQ,NR32 1DQ,NR32 1DQ,E14001344,E23000025,E12000006,C1,UF1,E38000239,E30000235,"0",E33024881
"1140364",E630,E35999999,E56000035,E58001419,E92000001,"198001",,E54000022,"64",E07000244,52.4770355224609,E37000052,,1.75453400611877,E01030247,E01030247,E02006308,E02006308,E40000007,E00154286,E00187875,7A1,E10000029,"655058","1",E18000006,E07000244,"0293193",E05012745,E04012678,E65000001,NR321DY,NR32 1DY,NR32 1DY,E14001344,E23000025,E12000006,C1,UF1,E38000239,E30000235,"0",E33024877
"1140368",E630,E35999999,E56000035,E58001419,E92000001,"199606",,E54000022,"64",E07000244,52.4777755737305,E37000052,,1.75524497032166,E01030247,E01030247,E02006308,E02006308,E40000007,E00154286,E00187875,7A1,E10000029,"655102","1",E18000006,E07000244,"0293278",E05012745,E04012678,E65000001,NR321EH,NR32 1EH,NR32 1EH,E14001344,E23000025,E12000006,C1,UF1,E38000239,E30000235,"0",E33024881
"1140370",E630,E35999999,E56000035,E58001419,E92000001,"198001",,E54000022,"64",E07000244,52.4781799316406,E37000052,,1.75528001785278,E01030247,E01030247,E02006308,E02006308,E40000007,E00154286,E00187976,7A1,E10000029,"655102","1",E18000006,E07000244,"0293323",E05012745,E04012678,E65000001,NR321EQ,NR32 1EQ,NR32 1EQ,E14001344,E23000025,E12000006,C1,UF1,E38000239,E30000235,"0",E33024882
"1140371",E630,E35999999,E56000035,E58001419,E92000001,"198001",,E54000022,"64",E07000244,52.4757232666016,E37000052,,1.75252199172974,E01030247,E01030247,E02006308,E02006308,E40000007,E00154286,E00187875,7A1,E10000029,"654929","1",E18000006,E07000244,"0293040",E05012745,E04012678,E65000001,NR321ET,NR32 1ET,NR32 1ET,E14001344,E23000025,E12000006,C1,UF1,E38000239,E30000235,"0",E33024877
