OBJECTID,BUA11,BUASD11,CALNCV,CED,CTRY,DOINTR,DOTERM,ICB,IMD,ITL,LAT,LEP1,LEP2,LONG,LSOA11,LSOA21,MSOA11,MSOA21,NHSER,OA11,OA21,OAC11,OSCTY,OSEAST1M,OSGRDIND,OSHLTHAU,OSLAUA,OSNRTH1M,OSWARD,PARISH,PARK,PCD,PCD2,PCDS,PCON,PFA,RGN,RU11IND,RUC21IND,SICBL,TTWA,USERTYPE,WZ11
"1017437",E630,E35000478,E56000027,E99999999,E92000001,"201110",,E54000028,"8479",E09000014,51.5756988525391,E37000051,,-0.0869520008563995,E01002056,E01002056,E02000428,E02000428,E40000003,E00010323,E00178947,"3D1",E99999999,"532663","1",E18000007,E09000014,"0188048",E05013591,E43000204,E65000001,N15 6AQ,N15  6AQ,N15 6AQ,E14001553,E23000001,E12000007,A1,UN1,E38000240,E30000234,"0",E33034126
"1017465",E630,E35000478,E56000027,E99999999,E92000001,"198001",,E54000028,"5534",E09000014,51.5792961120605,E37000051,,-0.0777079984545708,E01002053,E01002053,E02000428,E02000428,E40000003,E00010298,E00010298,3A1,E99999999,"533293","1",E18000007,E09000014,"0188465",E05013598,E43000204,E65000001,N15 6DN,N15  6DN,N15 6DN,E14001553,E23000001,E12000007,A1,UN1,E38000240,E30000234,"0",E33034128
"1017471",E630,E35000478,E56000027,E99999999,E92000001,"198001",,E54000028,"5534",E09000014,51.5777320861816,E37000051,,-0.0756380036473274,E01002053,E01002053,E02000428,E02000428,E40000003,E00010316,E00010316,3A2,E99999999,"533441","1",E18000007,E09000014,"0188295",E05013598,E43000204,E65000001,N15 6DU,N15  6DU,N15 6DU,E14001553,E23000001,E12000007,A1,UN1,E38000240,E30000234,"0",E33034129
"1017472",E630,E35000478,E56000027,E99999999,E92000001,"198001",,E54000028,"5534",E09000014,51.5784111022949,E37000051,,-0.0765329971909523,E01002053,E01002053,E02000428,E02000428,E40000003,E00010298,E00010298,3A1,E99999999,"533377","1",E18000007,E09000014,"0188369",E05013598,E43000204,E65000001,N15 6DW,N15  6DW,N15 6DW,E14001553,E23000001,E12000007,A1,UN1,E38000240,E30000234,"0",E33034128
"1017473",E630,E35000478,E56000027,E99999999,E92000001,"198001",,E54000028,"5534",E09000014,51.5790405273438,E37000051,,-0.0785280019044876,E01002053,E01002053,E02000428,E02000428,E40000003,E00010298,E00010298,3A1,E99999999,"533237","1",E18000007,E09000014,"0188435",E05013598,E43000204,E65000001,N15 6DX,N15  6DX,N15 6DX,E14001553,E23000001,E12000007,A1,UN1,E38000240,E30000234,"0",E33034128
"1017474",E630,E35000478,E56000027,E99999999,E92000001,"198001",,E54000028,"5534",E09000014,51.5784568786621,E37000051,,-0.0770649984478951,E01002053,E01002053,E02000428,E02000428,E40000003,E00010298,E00010298,3A1,E99999999,"533340","1",E18000007,E09000014,"0188373",E05013598,E43000204,E65000001,N15 6DY,N15  6DY,N15 6DY,E14001553,E23000001,E12000007,A1,UN1,E38000240,E30000234,"0",E33034128
"1017475",E630,E35000478,E56000027,E99999999,E92000001,"198001",,E54000028,"5534",E09000014,51.5779609680176,E37000051,,-0.0762929990887642,E01002053,E01002053,E02000428,E02000428,E40000003,E00010316,E00010316,3A2,E99999999,"533395","1",E18000007,E09000014,"0188319",E05013598,E43000204,E65000001,N15 6DZ,N15  6DZ,N15 6DZ,E14001553,E23000001,E12000007,A1,UN1,E38000240,E30000234,"0",E33034129
"1017477",E630,E35000478,E56000027,E99999999,E92000001,"200911",,E54000028,"12189",E09000014,51.5770721435547,E37000051,,-0.087457001209259,E01002057,E01002057,E02000428,E02000428,E40000003,E00010294,E00010294,3A2,E99999999,"532624","1",E18000007,E09000014,"0188200",E05013591,E43000204,E65000001,N15 6ED,N15  6ED,N15 6ED,E14001553,E23000001,E12000007,A1,UN1,E38000240,E30000234,"0",E33034126
"1017478",E630,E35000478,E56000027,E99999999,E92000001,"201003",,E54000028,"12189",E09000014,51.5774154663086,E37000051,,-0.0875009968876839,E01002057,E01002057,E02000428,E02000428,E40000003,E00010294,E00010294,3A2,E99999999,"532620","1",E18000007,E09000014,"0188238",E05013591,E43000204,E65000001,N15 6EF,N15  6EF,N15 6EF,E14001553,E23000001,E12000007,A1,UN1,E38000240,E30000234,"0",E33034126
"1017479",E630,E35000478,E56000027,E99999999,E92000001,"198001",,E54000028,"5534",E09000014,51.5782737731934,E37000051,,-0.0801040008664131,E01002053,E01002053,E02000428,E02000428,E40000003,E00010313,E00010313,3A1,E99999999,"533130","1",E18000007,E09000014,"0188347",E05013598,E43000204,E65000001,N15 6EH,N15  6EH,N15 6EH,E14001553,E23000001,E12000007,A1,UN1,E38000240,E30000234,"0",E33034129
