OBJECTID,BUA11,BUASD11,CALNCV,CED,CTRY,DOINTR,DOTERM,ICB,IMD,ITL,LAT,LEP1,LEP2,LONG,LSOA11,LSOA21,MSOA11,MSOA21,NHSER,OA11,OA21,OAC11,OSCTY,OSEAST1M,OSGRDIND,OSHLTHAU,OSLAUA,OSNRTH1M,OSWARD,PARISH,PARK,PCD,PCD2,PCDS,PCON,PFA,RGN,RU11IND,RUC21IND,SICBL,TTWA,USERTYPE,WZ11
"820313",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"12761",E08000014,53.485595703125,E37000022,,-2.94879603385925,E01007041,E01007041,E02001455,E02001455,E40000010,E00035675,E00035675,6B4,E99999999,"337139","1",E18000002,E08000014,"399182",E05000946,E04000029,E65000001,L10 2JA,L10  2JA,L10 2JA,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820314",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"12761",E08000014,53.4853019714355,E37000022,,-2.94877409934998,E01007041,E01007041,E02001455,E02001455,E40000010,E00035675,E00035675,6B4,E99999999,"337140","1",E18000002,E08000014,"399149",E05000946,E04000029,E65000001,L10 2JD,L10  2JD,L10 2JD,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820315",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"12761",E08000014,53.4844360351562,E37000022,,-2.94898104667664,E01007041,E01007041,E02001455,E02001455,E40000010,E00035673,E00035673,6B3,E99999999,"337125","1",E18000002,E08000014,"399053",E05000946,E04000029,E65000001,L10 2JE,L10  2JE,L10 2JE,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820316",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"12761",E08000014,53.4833106994629,E37000022,,-2.94719195365906,E01007041,E01007041,E02001455,E02001455,E40000010,E00035666,E00035666,6B4,E99999999,"337242","1",E18000002,E08000014,"398926",E05000946,E04000029,E65000001,L10 2JF,L10  2JF,L10 2JF,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33003150
"820317",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"12761",E08000014,53.4844665527344,E37000022,,-2.94974994659424,E01007041,E01007041,E02001455,E02001455,E40000010,E00035673,E00035673,6B3,E99999999,"337074","1",E18000002,E08000014,"399057",E05000946,E04000029,E65000001,L10 2JG,L10  2JG,L10 2JG,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820318",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4849548339844,E37000022,,-2.94578194618225,E01007043,E01007043,E02001455,E02001455,E40000010,E00035678,E00035678,6B3,E99999999,"337338","1",E18000002,E08000014,"399108",E05000946,E04000029,E65000001,L10 2JH,L10  2JH,L10 2JH,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820319",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4836120605469,E37000022,,-2.94618892669678,E01007043,E01007043,E02001455,E02001455,E40000010,E00035667,E00035667,6B3,E99999999,"337309","1",E18000002,E08000014,"398959",E05000946,E04000029,E65000001,L10 2JJ,L10  2JJ,L10 2JJ,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820320",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"12761",E08000014,53.4847602844238,E37000022,,-2.94867205619812,E01007041,E01007041,E02001455,E02001455,E40000010,E00035675,E00035675,6B4,E99999999,"337146","1",E18000002,E08000014,"399089",E05000946,E04000029,E65000001,L10 2JL,L10  2JL,L10 2JL,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820321",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"12761",E08000014,53.4835433959961,E37000022,,-2.94680595397949,E01007041,E01007041,E02001455,E02001455,E40000010,E00035675,E00035675,6B4,E99999999,"337268","1",E18000002,E08000014,"398952",E05000946,E04000029,E65000001,L10 2JN,L10  2JN,L10 2JN,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820322",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4843215942383,E37000022,,-2.94525599479675,E01007043,E01007043,E02001455,E02001455,E40000010,E00035678,E00035678,6B3,E99999999,"337372","1",E18000002,E08000014,"399037",E05000946,E04000029,E65000001,L10 2JP,L10  2JP,L10 2JP,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820323",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"12761",E08000014,53.483039855957,E37000022,,-2.94736695289612,E01007041,E01007041,E02001455,E02001455,E40000010,E00035666,E00035666,6B4,E99999999,"337230","1",E18000002,E08000014,"398896",E05000946,E04000029,E65000001,L10 2JQ,L10  2JQ,L10 2JQ,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33003150
"820324",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4840927124023,E37000022,,-2.944904088974,E01007043,E01007043,E02001455,E02001455,E40000010,E00035678,E00035678,6B3,E99999999,"337395","1",E18000002,E08000014,"399011",E05000946,E04000029,E65000001,L10 2JR,L10  2JR,L10 2JR,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820325",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4845962524414,E37000022,,-2.94673895835876,E01007043,E01007043,E02001455,E02001455,E40000010,E00035678,E00035678,6B3,E99999999,"337274","1",E18000002,E08000014,"399069",E05000946,E04000029,E65000001,L10 2JS,L10  2JS,L10 2JS,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820326",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4846839904785,E37000022,,-2.94621300697327,E01007043,E01007043,E02001455,E02001455,E40000010,E00035678,E00035678,6B3,E99999999,"337309","1",E18000002,E08000014,"399078",E05000946,E04000029,E65000001,L10 2JT,L10  2JT,L10 2JT,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820327",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4832496643066,E37000022,,-2.94453907012939,E01007043,E01007043,E02001455,E02001455,E40000010,E00035678,E00035678,6B3,E99999999,"337418","1",E18000002,E08000014,"398917",E05000946,E04000029,E65000001,L10 2JU,L10  2JU,L10 2JU,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820328",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4821968078613,E37000022,,-2.94471096992493,E01007043,E01007043,E02001455,E02001455,E40000010,E00035667,E00035667,6B3,E99999999,"337405","1",E18000002,E08000014,"398800",E05000946,E04000029,E65000001,L10 2JW,L10  2JW,L10 2JW,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820329",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"12761",E08000014,53.4819946289062,E37000022,,-2.94515895843506,E01007041,E01007041,E02001455,E02001455,E40000010,E00035666,E00035666,6B4,E99999999,"337375","1",E18000002,E08000014,"398778",E05000946,E04000029,E65000001,L10 2JX,L10  2JX,L10 2JX,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33003150
"820330",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4829788208008,E37000022,,-2.94353795051575,E01007043,E01007043,E02001455,E02001455,E40000010,E00035667,E00035667,6B3,E99999999,"337484","1",E18000002,E08000014,"398886",E05000946,E04000029,E65000001,L10 2JY,L10  2JY,L10 2JY,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820331",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4829368591309,E37000022,,-2.94301009178162,E01007043,E01007043,E02001455,E02001455,E40000010,E00035667,E00035667,6B3,E99999999,"337519","1",E18000002,E08000014,"398881",E05000946,E04000029,E65000001,L10 2JZ,L10  2JZ,L10 2JZ,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820332",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4817047119141,E37000022,,-2.94450402259827,E01007043,E01007043,E02001455,E02001455,E40000010,E00035667,E00035667,6B3,E99999999,"337418","1",E18000002,E08000014,"398745",E05000946,E04000029,E65000001,L10 2LA,L10  2LA,L10 2LA,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820333",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4835052490234,E37000022,,-2.94409203529358,E01007043,E01007043,E02001455,E02001455,E40000010,E00035667,E00035667,6B3,E99999999,"337448","1",E18000002,E08000014,"398945",E05000946,E04000029,E65000001,L10 2LB,L10  2LB,L10 2LB,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820334",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.483814239502,E37000022,,-2.94140195846558,E01007043,E01007043,E02001455,E02001455,E40000010,E00035679,E00035679,8C3,E99999999,"337627","1",E18000002,E08000014,"398977",E05000946,E04000029,E65000001,L10 2LD,L10  2LD,L10 2LD,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820335",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4841003417969,E37000022,,-2.94354796409607,E01007043,E01007043,E02001455,E02001455,E40000010,E00035678,E00035678,6B3,E99999999,"337485","1",E18000002,E08000014,"399011",E05000946,E04000029,E65000001,L10 2LE,L10  2LE,L10 2LE,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820336",E630,E35001470,E56000005,E99999999,E92000001,"198607",,E54000008,"20556",E08000014,53.4833755493164,E37000022,,-2.94112110137939,E01007043,E01007043,E02001455,E02001455,E40000010,E00035679,E00035679,8C3,E99999999,"337645","1",E18000002,E08000014,"398928",E05000946,E04000029,E65000001,L10 2LF,L10  2LF,L10 2LF,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820337",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"12761",E08000014,53.4850387573242,E37000022,,-2.9445788860321,E01007041,E01007041,E02001455,E02001455,E40000010,E00035675,E00035675,6B4,E99999999,"337418","1",E18000002,E08000014,"399116",E05000946,E04000029,E65000001,L10 2LG,L10  2LG,L10 2LG,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820338",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"12761",E08000014,53.485782623291,E37000022,,-2.94818210601807,E01007041,E01007041,E02001455,E02001455,E40000010,E00035675,E00035675,6B4,E99999999,"337180","1",E18000002,E08000014,"399202",E05000946,E04000029,E65000001,L10 2LH,L10  2LH,L10 2LH,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820339",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4838523864746,E37000022,,-2.94069409370422,E01007043,E01007043,E02001455,E02001455,E40000010,E00035679,E00035679,8C3,E99999999,"337674","1",E18000002,E08000014,"398981",E05000946,E04000029,E65000001,L10 2LQ,L10  2LQ,L10 2LQ,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820343",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"12761",E08000014,53.4862594604492,E37000022,,-2.94923210144043,E01007041,E01007041,E02001455,E02001455,E40000010,E00035673,E00035673,6B3,E99999999,"337111","1",E18000002,E08000014,"399256",E05000946,E04000029,E65000001,L10 3JA,L10  3JA,L10 3JA,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820344",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"12761",E08000014,53.4860687255859,E37000022,,-2.9473888874054,E01007041,E01007041,E02001455,E02001455,E40000010,E00035686,E00035686,6B3,E99999999,"337233","1",E18000002,E08000014,"399233",E05000946,E04000029,E65000001,L10 3JD,L10  3JD,L10 3JD,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820345",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"12761",E08000014,53.4853286743164,E37000022,,-2.94416308403015,E01007041,E01007041,E02001455,E02001455,E40000010,E00035675,E00035675,6B4,E99999999,"337446","1",E18000002,E08000014,"399148",E05000946,E04000029,E65000001,L10 3JE,L10  3JE,L10 3JE,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820346",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4843597412109,E37000022,,-2.9406750202179,E01007043,E01007043,E02001455,E02001455,E40000010,E00035679,E00035679,8C3,E99999999,"337676","1",E18000002,E08000014,"399037",E05000946,E04000029,E65000001,L10 3JF,L10  3JF,L10 3JF,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820347",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"12761",E08000014,53.486743927002,E37000022,,-2.94939398765564,E01007041,E01007041,E02001455,E02001455,E40000010,E00035673,E00035673,6B3,E99999999,"337101","1",E18000002,E08000014,"399310",E05000946,E04000029,E65000001,L10 3JG,L10  3JG,L10 3JG,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820348",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"12761",E08000014,53.4874687194824,E37000022,,-2.94867205619812,E01007041,E01007041,E02001455,E02001455,E40000010,E00035673,E00035673,6B3,E99999999,"337150","1",E18000002,E08000014,"399390",E05000946,E04000029,E65000001,L10 3JH,L10  3JH,L10 3JH,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820349",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"12761",E08000014,53.4875450134277,E37000022,,-2.94808602333069,E01007041,E01007041,E02001455,E02001455,E40000010,E00035686,E00035686,6B3,E99999999,"337189","1",E18000002,E08000014,"399398",E05000946,E04000029,E65000001,L10 3JJ,L10  3JJ,L10 3JJ,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820353",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"12761",E08000014,53.4879684448242,E37000022,,-2.94901394844055,E01007041,E01007041,E02001455,E02001455,E40000010,E00035673,E00035673,6B3,E99999999,"337128","1",E18000002,E08000014,"399446",E05000946,E04000029,E65000001,L10 3JQ,L10  3JQ,L10 3JQ,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820354",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4867706298828,E37000022,,-2.94268798828125,E01007043,E01007043,E02001455,E02001455,E40000010,E00035687,E00035687,6B3,E99999999,"337546","1",E18000002,E08000014,"399307",E05000946,E04000029,E65000001,L10 3JR,L10  3JR,L10 3JR,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820360",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4857406616211,E37000022,,-2.94189596176147,E01007043,E01007043,E02001455,E02001455,E40000010,E00035679,E00035679,8C3,E99999999,"337597","1",E18000002,E08000014,"399192",E05000946,E04000029,E65000001,L10 3JY,L10  3JY,L10 3JY,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820361",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.485538482666,E37000022,,-2.94151496887207,E01007043,E01007043,E02001455,E02001455,E40000010,E00035679,E00035679,8C3,E99999999,"337622","1",E18000002,E08000014,"399169",E05000946,E04000029,E65000001,L10 3JZ,L10  3JZ,L10 3JZ,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820362",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"12761",E08000014,53.4873504638672,E37000022,,-2.94655895233154,E01007041,E01007041,E02001455,E02001455,E40000010,E00035686,E00035686,6B3,E99999999,"337290","1",E18000002,E08000014,"399375",E05000946,E04000029,E65000001,L10 3LA,L10  3LA,L10 3LA,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820363",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4864616394043,E37000022,,-2.94311809539795,E01007043,E01007043,E02001455,E02001455,E40000010,E00035687,E00035687,6B3,E99999999,"337517","1",E18000002,E08000014,"399273",E05000946,E04000029,E65000001,L10 3LB,L10  3LB,L10 3LB,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820364",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"12761",E08000014,53.4870529174805,E37000022,,-2.94674801826477,E01007041,E01007041,E02001455,E02001455,E40000010,E00035686,E00035686,6B3,E99999999,"337277","1",E18000002,E08000014,"399342",E05000946,E04000029,E65000001,L10 3LD,L10  3LD,L10 3LD,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820365",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4861793518066,E37000022,,-2.94324803352356,E01007043,E01007043,E02001455,E02001455,E40000010,E00035687,E00035687,6B3,E99999999,"337508","1",E18000002,E08000014,"399242",E05000946,E04000029,E65000001,L10 3LE,L10  3LE,L10 3LE,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820366",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"12761",E08000014,53.4867172241211,E37000022,,-2.94699692726135,E01007041,E01007041,E02001455,E02001455,E40000010,E00035686,E00035686,6B3,E99999999,"337260","1",E18000002,E08000014,"399305",E05000946,E04000029,E65000001,L10 3LF,L10  3LF,L10 3LF,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820367",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4858894348145,E37000022,,-2.94373798370361,E01007043,E01007043,E02001455,E02001455,E40000010,E00035687,E00035687,6B3,E99999999,"337475","1",E18000002,E08000014,"399210",E05000946,E04000029,E65000001,L10 3LG,L10  3LG,L10 3LG,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820368",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4856262207031,E37000022,,-2.94400405883789,E01007043,E01007043,E02001455,E02001455,E40000010,E00035687,E00035687,6B3,E99999999,"337457","1",E18000002,E08000014,"399181",E05000946,E04000029,E65000001,L10 3LH,L10  3LH,L10 3LH,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820372",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"12761",E08000014,53.4863929748535,E37000022,,-2.94710993766785,E01007041,E01007041,E02001455,E02001455,E40000010,E00035686,E00035686,6B3,E99999999,"337252","1",E18000002,E08000014,"399269",E05000946,E04000029,E65000001,L10 3LQ,L10  3LQ,L10 3LQ,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820515",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4824333190918,E37000022,,-2.93960809707642,E01007043,E01007043,E02001455,E02001455,E40000010,E00035681,E00035681,6B3,E99999999,"337744","1",E18000002,E08000014,"398822",E05000946,E04000029,E65000001,L10 8LB,L10  8LB,L10 8LB,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820516",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4825553894043,E37000022,,-2.93780207633972,E01007043,E01007043,E02001455,E02001455,E40000010,E00035681,E00035681,6B3,E99999999,"337864","1",E18000002,E08000014,"398834",E05000946,E04000029,E65000001,L10 8LD,L10  8LD,L10 8LD,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820517",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"12761",E08000014,53.481128692627,E37000022,,-2.94198989868164,E01007041,E01007041,E02001455,E02001455,E40000010,E00035666,E00035666,6B4,E99999999,"337584","1",E18000002,E08000014,"398679",E05000946,E04000029,E65000001,L10 8LE,L10  8LE,L10 8LE,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33003149
"820518",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4805374145508,E37000022,,-2.93849611282349,E01007043,E01007043,E02001455,E02001455,E40000010,E00035681,E00035681,6B3,E99999999,"337815","1",E18000002,E08000014,"398610",E05000946,E04000029,E65000001,L10 8LF,L10  8LF,L10 8LF,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820519",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4800987243652,E37000022,,-2.93916511535645,E01007043,E01007043,E02001455,E02001455,E40000010,E00035681,E00035681,6B3,E99999999,"337770","1",E18000002,E08000014,"398562",E05000946,E04000029,E65000001,L10 8LG,L10  8LG,L10 8LG,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820523",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4816780090332,E37000022,,-2.93623089790344,E01007043,E01007043,E02001455,E02001455,E40000010,E00035681,E00035681,6B3,E99999999,"337967","1",E18000002,E08000014,"398735",E05000946,E04000029,E65000001,L10 8LN,L10  8LN,L10 8LN,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820529",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"20556",E08000014,53.4811210632324,E37000022,,-2.93605303764343,E01007043,E01007043,E02001455,E02001455,E40000010,E00035681,E00035681,6B3,E99999999,"337978","1",E18000002,E08000014,"398673",E05000946,E04000029,E65000001,L10 8LW,L10  8LW,L10 8LW,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006677
"820531",E630,E35001470,E56000005,E99999999,E92000001,"198001",,E54000008,"12761",E08000014,53.4813041687012,E37000022,,-2.94365191459656,E01007041,E01007041,E02001455,E02001455,E40000010,E00035666,E00035666,6B4,E99999999,"337474","1",E18000002,E08000014,"398700",E05000946,E04000029,E65000001,L10 8LY,L10  8LY,L10 8LY,E14001339,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33003149
"830209",E630,E35000538,E56000005,E99999999,E92000001,"198001",,E54000008,"13095",E08000014,53.4757232666016,E37000022,,-2.95946907997131,E01007046,E01007046,E02001455,E02001455,E40000010,E00035710,E00035710,8A2,E99999999,"336416","1",E18000002,E08000014,"398093",E05000947,E43000168,E65000001,L30 1PA,L30  1PA,L30 1PA,E14001113,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006676
"830210",E630,E35000538,E56000005,E99999999,E92000001,"198001",,E54000008,"13095",E08000014,53.4764404296875,E37000022,,-2.95963597297668,E01007046,E01007046,E02001455,E02001455,E40000010,E00035747,E00035747,6B3,E99999999,"336406","1",E18000002,E08000014,"398173",E05000947,E43000168,E65000001,L30 1PB,L30  1PB,L30 1PB,E14001113,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006676
"830211",E630,E35000538,E56000005,E99999999,E92000001,"198001",,E54000008,"13095",E08000014,53.4761810302734,E37000022,,-2.95952391624451,E01007046,E01007046,E02001455,E02001455,E40000010,E00035747,E00035747,6B3,E99999999,"336413","1",E18000002,E08000014,"398144",E05000947,E43000168,E65000001,L30 1PD,L30  1PD,L30 1PD,E14001113,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006676
"830212",E630,E35000538,E56000005,E99999999,E92000001,"199301",,E54000008,"13095",E08000014,53.4753684997559,E37000022,,-2.96009397506714,E01007046,E01007046,E02001455,E02001455,E40000010,E00035747,E00035747,6B3,E99999999,"336374","1",E18000002,E08000014,"398054",E05000947,E43000168,E65000001,L30 1PF,L30  1PF,L30 1PF,E14001113,E23000004,E12000002,A1,UN1,E38000161,E30000233,"0",E33006676
