OBJECTID,BUA11,BUASD11,CALNCV,CED,CTRY,DOINTR,DOTERM,ICB,IMD,ITL,LAT,LEP1,LEP2,LONG,LSOA11,LSOA21,MSOA11,MSOA21,NHSER,OA11,OA21,OAC11,OSCTY,OSEAST1M,OSGRDIND,OSHLTHAU,OSLAUA,OSNRTH1M,OSWARD,PARISH,PARK,PCD,PCD2,PCDS,PCON,PFA,RGN,RU11IND,RUC21IND,SICBL,TTWA,USERTYPE,WZ11
"1165771",E630,E35000666,E56000018,E58000815,E92000001,"198001",,E54000048,"2397",E07000125,53.7023963928223,E37000019,,-2.20078611373901,E01025369,E01025369,E02005280,E02005280,E40000010,E00128762,E00128762,5A3,E10000017,"386842","1",E18000002,E07000125,"0422902",E05015818,E43000099,E65000001,OL130AA,OL13 0AA,OL13 0AA,E14001450,E23000003,E12000002,C1,UN1,E38000050,E30000170,"0",E33004019
"1165772",E630,E35000666,E56000018,E58000815,E92000001,"198001",,E54000048,"2397",E07000125,53.7021560668945,E37000019,,-2.19989109039307,E01025369,E01025369,E02005280,E02005280,E40000010,E00128762,E00128762,5A3,E10000017,"386901","1",E18000002,E07000125,"0422875",E05015818,E43000099,E65000001,OL130AD,OL13 0AD,OL13 0AD,E14001450,E23000003,E12000002,C1,UN1,E38000050,E30000170,"0",E33004019
"1165773",E630,E35000666,E56000018,E58000815,E92000001,"198001",,E54000048,"2397",E07000125,53.7018508911133,E37000019,,-2.20078301429749,E01025369,E01025369,E02005280,E02005280,E40000010,E00128762,E00128762,5A3,E10000017,"386842","1",E18000002,E07000125,"0422841",E05015818,E43000099,E65000001,OL130AH,OL13 0AH,OL13 0AH,E14001450,E23000003,E12000002,C1,UN1,E38000050,E30000170,"0",E33004019
"1165774",E630,E35000666,E56000018,E58000815,E92000001,"198001",,E54000048,"2397",E07000125,53.7020988464355,E37000019,,-2.20132994651794,E01025369,E01025369,E02005280,E02005280,E40000010,E00128762,E00128762,5A3,E10000017,"386806","1",E18000002,E07000125,"0422869",E05015818,E43000099,E65000001,OL130AJ,OL13 0AJ,OL13 0AJ,E14001450,E23000003,E12000002,C1,UN1,E38000050,E30000170,"0",E33004019
"1165775",E630,E35000666,E56000018,E58000815,E92000001,"198001",,E54000048,"2397",E07000125,53.7018661499023,E37000019,,-2.20143389701843,E01025369,E01025369,E02005280,E02005280,E40000010,E00128761,E00128761,8C1,E10000017,"386799","1",E18000002,E07000125,"0422843",E05015818,E43000099,E65000001,OL130AL,OL13 0AL,OL13 0AL,E14001450,E23000003,E12000002,C1,UN1,E38000050,E30000170,"0",E33008634
"1165776",E630,E35000666,E56000018,E58000815,E92000001,"198001",,E54000048,"2397",E07000125,53.7005195617676,E37000019,,-2.19962596893311,E01025369,E01025369,E02005280,E02005280,E40000010,E00128762,E00128762,5A3,E10000017,"386918","1",E18000002,E07000125,"0422693",E05015818,E43000099,E65000001,OL130AR,OL13 0AR,OL13 0AR,E14001450,E23000003,E12000002,C1,UN1,E38000050,E30000170,"0",E33004019
"1165777",E630,E35000666,E56000018,E58000815,E92000001,"200106",,E54000048,"2397",E07000125,53.6992797851562,E37000019,,-2.20033192634583,E01025369,E01025369,E02005280,E02005280,E40000010,E00128762,E00128762,5A3,E10000017,"386871","1",E18000002,E07000125,"0422555",E05015818,E43000099,E65000001,OL130AS,OL13 0AS,OL13 0AS,E14001450,E23000003,E12000002,C1,UN1,E38000050,E30000170,"0",E33004019
"1165778",E630,E35000666,E56000018,E58000815,E92000001,"198001",,E54000048,"2397",E07000125,53.700382232666,E37000019,,-2.20088195800781,E01025369,E01025369,E02005280,E02005280,E40000010,E00128762,E00128762,5A3,E10000017,"386835","1",E18000002,E07000125,"0422678",E05015818,E43000099,E65000001,OL130AT,OL13 0AT,OL13 0AT,E14001450,E23000003,E12000002,C1,UN1,E38000050,E30000170,"0",E33004019
"1165779",E630,E35000666,E56000018,E58000815,E92000001,"198001",,E54000048,"2397",E07000125,53.6994323730469,E37000019,,-2.200119972229,E01025369,E01025369,E02005280,E02005280,E40000010,E00128762,E00128762,5A3,E10000017,"386885","1",E18000002,E07000125,"0422572",E05015818,E43000099,E65000001,OL130AU,OL13 0AU,OL13 0AU,E14001450,E23000003,E12000002,C1,UN1,E38000050,E30000170,"1",E33004019
"1165780",E630,E35000666,E56000018,E58000815,E92000001,"200106",,E54000048,"2397",E07000125,53.6976318359375,E37000019,,-2.20142889022827,E01025369,E01025369,E02005280,E02005280,E40000010,E00128762,E00128762,5A3,E10000017,"386798","1",E18000002,E07000125,"0422372",E05015818,E43000099,E65000001,OL130AW,OL13 0AW,OL13 0AW,E14001450,E23000003,E12000002,C1,UN1,E38000050,E30000170,"0",E33004019
"1165781",E630,E35000666,E56000018,E58000815,E92000001,"198001",,E54000048,"2397",E07000125,53.699348449707,E37000019,,-2.20077109336853,E01025369,E01025369,E02005280,E02005280,E40000010,E00128762,E00128762,5A3,E10000017,"386842","1",E18000002,E07000125,"0422563",E05015818,E43000099,E65000001,OL130AX,OL13 0AX,OL13 0AX,E14001450,E23000003,E12000002,C1,UN1,E38000050,E30000170,"0",E33004019
