OBJECTID,BUA11,BUASD11,CALNCV,CED,CTRY,DOINTR,DOTERM,ICB,IMD,ITL,LAT,LEP1,LEP2,LONG,LSOA11,LSOA21,MSOA11,MSOA21,NHSER,OA11,OA21,OAC11,OSCTY,OSEAST1M,OSGRDIND,OSHLTHAU,OSLAUA,OSNRTH1M,OSWARD,PARISH,PARK,PCD,PCD2,PCDS,PCON,PFA,RGN,RU11IND,RUC21IND,SICBL,TTWA,USERTYPE,WZ11
"600400",S999,S99999999,S99999999,S99999999,S92000003,"198001",,S99999999,"343",S30000052,55.8762588500977,S99999999,,-4.34520483016968,S01010425,S01017589,S02001961,S02003264,S99999999,S00115933,S00158179,7B2,S99999999,"253376","1",S08000031,S12000049,"0667276",S13002979,S99999999,S99999999,G14 0AA,G14  0AA,G14 0AA,S14000089,S23000009,S99999999,"1",,S03000043,S22000065,"0",S34005348
"600401",S999,S99999999,S99999999,S99999999,S92000003,"198001",,S99999999,"343",S30000052,55.8759460449219,S99999999,,-4.34501123428345,S01010425,S01017589,S02001961,S02003264,S99999999,S00112996,S00158208,7B3,S99999999,"253387","1",S08000031,S12000049,"0667241",S13002979,S99999999,S99999999,G14 0AB,G14  0AB,G14 0AB,S14000089,S23000009,S99999999,"1",,S03000043,S22000065,"0",S34004860
"600402",S999,S99999999,S99999999,S99999999,S92000003,"198001",,S99999999,"343",S30000052,55.8760032653809,S99999999,,-4.3457818031311,S01010425,S01017589,S02001961,S02003264,S99999999,S00115933,S00158179,7B2,S99999999,"253339","1",S08000031,S12000049,"0667249",S13002979,S99999999,S99999999,G14 0AD,G14  0AD,G14 0AD,S14000089,S23000009,S99999999,"1",,S03000043,S22000065,"0",S34005348
"600403",S999,S99999999,S99999999,S99999999,S92000003,"201112",,S99999999,"343",S30000052,55.8757476806641,S99999999,,-4.34463119506836,S01010425,S01017589,S02001961,S02003264,S99999999,S00112996,S00158208,7B3,S99999999,"253410","1",S08000031,S12000049,"0667218",S13002979,S99999999,S99999999,G14 0AE,G14  0AE,G14 0AE,S14000089,S23000009,S99999999,"1",,S03000043,S22000065,"0",S34004860
"600404",S999,S99999999,S99999999,S99999999,S92000003,"198001",,S99999999,"365",S30000052,55.8749618530273,S99999999,,-4.34619808197021,S01010436,S01017594,S02001963,S02003264,S99999999,S00112994,S00157808,7A1,S99999999,"253309","1",S08000031,S12000049,"0667134",S13002978,S99999999,S99999999,G14 0AG,G14  0AG,G14 0AG,S14000089,S23000009,S99999999,"1",,S03000043,S22000065,"1",S34005158
"600405",S999,S99999999,S99999999,S99999999,S92000003,"198001",,S99999999,"365",S30000052,55.8769874572754,S99999999,,-4.35399484634399,S01010436,S01017594,S02001963,S02003264,S99999999,S00112994,S00157808,7A1,S99999999,"252829","1",S08000031,S12000049,"0667376",S13002979,S99999999,S99999999,G14 0AL,G14  0AL,G14 0AL,S14000089,S23000009,S99999999,"1",,S03000043,S22000065,"1",S34005158
"600406",S999,S99999999,S99999999,S99999999,S92000003,"198403",,S99999999,"365",S30000052,55.8769874572754,S99999999,,-4.35399484634399,S01010436,S01017594,S02001963,S02003264,S99999999,S00112994,S00157808,7A1,S99999999,"252829","1",S08000031,S12000049,"0667376",S13002979,S99999999,S99999999,G14 0AP,G14  0AP,G14 0AP,S14000089,S23000009,S99999999,"1",,S03000043,S22000065,"0",S34005158
"600407",S999,S99999999,S99999999,S99999999,S92000003,"198303",,S99999999,"365",S30000052,55.875373840332,S99999999,,-4.35381698608398,S01010436,S01017594,S02001963,S02003264,S99999999,S00112994,S00157808,7A1,S99999999,"252834","1",S08000031,S12000049,"0667196",S13002979,S99999999,S99999999,G14 0AQ,G14  0AQ,G14 0AQ,S14000089,S23000009,S99999999,"1",,S03000043,S22000065,"0",S34005158
"600408",S999,S99999999,S99999999,S99999999,S92000003,"198001",,S99999999,"365",S30000052,55.8755683898926,S99999999,,-4.34727382659912,S01010436,S01017594,S02001963,S02003264,S99999999,S00112994,S00157808,7A1,S99999999,"253244","1",S08000031,S12000049,"0667204",S13002978,S99999999,S99999999,G14 0AR,G14  0AR,G14 0AR,S14000089,S23000009,S99999999,"1",,S03000043,S22000065,"0",S34005158
"600409",S999,S99999999,S99999999,S99999999,S92000003,"198001",,S99999999,"1406",S30000052,55.8761520385742,S99999999,,-4.34834909439087,S01010426,S01017590,S02001961,S02003264,S99999999,S00116878,S00158159,2C1,S99999999,"253179","1",S08000031,S12000049,"0667271",S13002979,S99999999,S99999999,G14 0AS,G14  0AS,G14 0AS,S14000089,S23000009,S99999999,"1",,S03000043,S22000065,"0",S34005158
"600410",S999,S99999999,S99999999,S99999999,S92000003,"198001",,S99999999,"1406",S30000052,55.8765144348145,S99999999,,-4.34910583496094,S01010426,S01017590,S02001961,S02003264,S99999999,S00116879,S00158132,7B3,S99999999,"253133","1",S08000031,S12000049,"0667313",S13002979,S99999999,S99999999,G14 0AT,G14  0AT,G14 0AT,S14000089,S23000009,S99999999,"1",,S03000043,S22000065,"0",S34005158
"600411",S999,S99999999,S99999999,S99999999,S92000003,"198001",,S99999999,"1406",S30000052,55.8769035339355,S99999999,,-4.34666681289673,S01010426,S01017590,S02001961,S02003264,S99999999,S00112998,S00158140,3C2,S99999999,"253287","1",S08000031,S12000049,"0667351",S13002979,S99999999,S99999999,G14 0AX,G14  0AX,G14 0AX,S14000089,S23000009,S99999999,"1",,S03000043,S22000065,"0",S34005158
"600412",S999,S99999999,S99999999,S99999999,S92000003,"198001",,S99999999,"1406",S30000052,55.8771743774414,S99999999,,-4.34751510620117,S01010426,S01017590,S02001961,S02003264,S99999999,S00112999,S00158124,7B1,S99999999,"253235","1",S08000031,S12000049,"0667383",S13002979,S99999999,S99999999,G14 0AY,G14  0AY,G14 0AY,S14000089,S23000009,S99999999,"1",,S03000043,S22000065,"0",S34005158
"600413",S999,S99999999,S99999999,S99999999,S92000003,"198001",,S99999999,"1406",S30000052,55.8765335083008,S99999999,,-4.34674119949341,S01010426,S01017590,S02001961,S02003264,S99999999,S00116881,S00158155,7B1,S99999999,"253281","1",S08000031,S12000049,"0667310",S13002979,S99999999,S99999999,G14 0AZ,G14  0AZ,G14 0AZ,S14000089,S23000009,S99999999,"1",,S03000043,S22000065,"0",S34005158
"600414",S999,S99999999,S99999999,S99999999,S92000003,"198001",,S99999999,"1406",S30000052,55.8767547607422,S99999999,,-4.34741020202637,S01010426,S01017590,S02001961,S02003264,S99999999,S00112998,S00158140,3C2,S99999999,"253240","1",S08000031,S12000049,"0667336",S13002979,S99999999,S99999999,G14 0BA,G14  0BA,G14 0BA,S14000089,S23000009,S99999999,"1",,S03000043,S22000065,"0",S34005158
"600415",S999,S99999999,S99999999,S99999999,S92000003,"198001",,S99999999,"1406",S30000052,55.877010345459,S99999999,,-4.34808111190796,S01010426,S01017590,S02001961,S02003264,S99999999,S00116879,S00158132,7B3,S99999999,"253199","1",S08000031,S12000049,"0667366",S13002979,S99999999,S99999999,G14 0BB,G14  0BB,G14 0BB,S14000089,S23000009,S99999999,"1",,S03000043,S22000065,"0",S34005158
"600416",S999,S99999999,S99999999,S99999999,S92000003,"198001",,S99999999,"1406",S30000052,55.8767242431641,S99999999,,-4.34616088867188,S01010426,S01017590,S02001961,S02003264,S99999999,S00116881,S00158155,7B1,S99999999,"253318","1",S08000031,S12000049,"0667330",S13002979,S99999999,S99999999,G14 0BD,G14  0BD,G14 0BD,S14000089,S23000009,S99999999,"1",,S03000043,S22000065,"0",S34005158
"600417",S999,S99999999,S99999999,S99999999,S92000003,"200112",,S99999999,"365",S30000052,55.8752746582031,S99999999,,-4.34664916992188,S01010436,S01017594,S02001963,S02003264,S99999999,S00112994,S00157808,7A1,S99999999,"253282","1",S08000031,S12000049,"0667170",S13002978,S99999999,S99999999,G14 0BE,G14  0BE,G14 0BE,S14000089,S23000009,S99999999,"1",,S03000043,S22000065,"0",S34005158
"600419",S999,S99999999,S99999999,S99999999,S92000003,"198001",,S99999999,"1406",S30000052,55.8763656616211,S99999999,,-4.34661912918091,S01010426,S01017590,S02001961,S02003264,S99999999,S00116881,S00158155,7B1,S99999999,"253288","1",S08000031,S12000049,"0667291",S13002979,S99999999,S99999999,G14 0BG,G14  0BG,G14 0BG,S14000089,S23000009,S99999999,"1",,S03000043,S22000065,"0",S34005158
"600420",S999,S99999999,S99999999,S99999999,S92000003,"200709",,S99999999,"365",S30000052,55.8794403076172,S99999999,,-4.35694122314453,S01010436,S01017594,S02001963,S02003264,S99999999,S00112994,S00157808,7A1,S99999999,"252654","1",S08000031,S12000049,"0667655",S13002979,S99999999,S99999999,G14 0BJ,G14  0BJ,G14 0BJ,S14000089,S23000009,S99999999,"1",,S03000043,S22000065,"0",S34005158
"600421",S999,S99999999,S99999999,S99999999,S92000003,"201202",,S99999999,"365",S30000052,55.8785285949707,S99999999,,-4.35338401794434,S01010436,S01017594,S02001963,S02003264,S99999999,S00112994,S00157808,7A1,S99999999,"252873","1",S08000031,S12000049,"0667546",S13002979,S99999999,S99999999,G14 0BL,G14  0BL,G14 0BL,S14000089,S23000009,S99999999,"1",,S03000043,S22000065,"0",S34005158
"600423",S999,S99999999,S99999999,S99999999,S92000003,"198001",,S99999999,"195",S30000052,55.8799476623535,S99999999,,-4.35474920272827,S01010434,S01017593,S02001963,S02003264,S99999999,S00113002,S00157914,3C2,S99999999,"252793","1",S08000031,S12000049,"0667707",S13002979,S99999999,S99999999,G14 0BP,G14  0BP,G14 0BP,S14000089,S23000009,S99999999,"1",,S03000043,S22000065,"0",S34004991
"600424",S999,S99999999,S99999999,S99999999,S92000003,"198001",,S99999999,"343",S30000052,55.8764572143555,S99999999,,-4.3458890914917,S01010425,S01017589,S02001961,S02003264,S99999999,S00116880,S00158171,3C2,S99999999,"253334","1",S08000031,S12000049,"0667300",S13002979,S99999999,S99999999,G14 0BQ,G14  0BQ,G14 0BQ,S14000089,S23000009,S99999999,"1",,S03000043,S22000065,"0",S34005348
"600425",S999,S99999999,S99999999,S99999999,S92000003,"198001",,S99999999,"1222",S30000052,55.8804130554199,S99999999,,-4.35536909103394,S01010432,S01017591,S02001963,S02003264,S99999999,S00113008,S00157848,7B3,S99999999,"252756","1",S08000031,S12000049,"0667760",S13002979,S99999999,S99999999,G14 0BS,G14  0BS,G14 0BS,S14000089,S23000009,S99999999,"1",,S03000043,S22000065,"0",S34004991
