OBJECTID,BUA11,BUASD11,CALNCV,CED,CTRY,DOINTR,DOTERM,ICB,IMD,ITL,LAT,LEP1,LEP2,LONG,LSOA11,LSOA21,MSOA11,MSOA21,NHSER,OA11,OA21,OAC11,OSCTY,OSEAST1M,OSGRDIND,OSHLTHAU,OSLAUA,OSNRTH1M,OSWARD,PARISH,PARK,PCD,PCD2,PCDS,PCON,PFA,RGN,RU11IND,RUC21IND,SICBL,TTWA,USERTYPE,WZ11
"991608",E630,E35000902,E56000035,E99999999,E92000001,"198001",,E54000024,"24404",E06000042,51.9913787841797,E37000057,,-0.740459978580475,E01016713,E01016713,E02003489,E02003489,E40000007,E00084353,E00084353,4C3,E99999999,"486581","1",E18000009,E06000042,"0233295",E05009407,E04012194,E65000001,MK3 5AA,MK3  5AA,MK3 5AA,E14001141,E23000029,E12000008,C1,UN1,E38000249,E30000243,"0",E33037285
"991609",E630,E35000902,E56000035,E99999999,E92000001,"198001",,E54000024,"24404",E06000042,51.9905090332031,E37000057,,-0.739144027233124,E01016713,E01016713,E02003489,E02003489,E40000007,E00084353,E00084353,4C3,E99999999,"486673","1",E18000009,E06000042,"0233200",E05009407,E04012194,E65000001,MK3 5AB,MK3  5AB,MK3 5AB,E14001141,E23000029,E12000008,C1,UN1,E38000249,E30000243,"0",E33037285
"991610",E630,E35000902,E56000035,E99999999,E92000001,"198001",,E54000024,"24404",E06000042,51.9899978637695,E37000057,,-0.741124987602234,E01016713,E01016713,E02003489,E02003489,E40000007,E00084353,E00084353,4C3,E99999999,"486538","1",E18000009,E06000042,"0233141",E05009407,E04012194,E65000001,MK3 5AD,MK3  5AD,MK3 5AD,E14001141,E23000029,E12000008,C1,UN1,E38000249,E30000243,"0",E33037285
"991611",E630,E35000902,E56000035,E99999999,E92000001,"198001",,E54000024,"24404",E06000042,51.9904975891113,E37000057,,-0.743179023265839,E01016713,E01016713,E02003489,E02003489,E40000007,E00084359,E00084359,5A2,E99999999,"486396","1",E18000009,E06000042,"0233194",E05009407,E04012194,E65000001,MK3 5AE,MK3  5AE,MK3 5AE,E14001141,E23000029,E12000008,C1,UN1,E38000249,E30000243,"0",E33040617
"991612",E630,E35000902,E56000035,E99999999,E92000001,"198001",,E54000024,"24404",E06000042,51.9898147583008,E37000057,,-0.743955016136169,E01016713,E01016713,E02003489,E02003489,E40000007,E00084353,E00084353,4C3,E99999999,"486344","1",E18000009,E06000042,"0233117",E05009407,E04012194,E65000001,MK3 5AF,MK3  5AF,MK3 5AF,E14001141,E23000029,E12000008,C1,UN1,E38000249,E30000243,"0",E33037285
"991613",E630,E35000902,E56000035,E99999999,E92000001,"198001",,E54000024,"24404",E06000042,51.9900703430176,E37000057,,-0.744516015052795,E01016713,E01016713,E02003489,E02003489,E40000007,E00084360,E00084360,6B3,E99999999,"486305","1",E18000009,E06000042,"0233145",E05009407,E04012194,E65000001,MK3 5AG,MK3  5AG,MK3 5AG,E14001141,E23000029,E12000008,C1,UN1,E38000249,E30000243,"0",E33040617
"991614",E630,E35000902,E56000035,E99999999,E92000001,"198001",,E54000024,"24404",E06000042,51.9907760620117,E37000057,,-0.745530009269714,E01016713,E01016713,E02003489,E02003489,E40000007,E00084360,E00084360,6B3,E99999999,"486234","1",E18000009,E06000042,"0233222",E05009407,E04012194,E65000001,MK3 5AH,MK3  5AH,MK3 5AH,E14001141,E23000029,E12000008,C1,UN1,E38000249,E30000243,"0",E33040617
"991615",E630,E35000902,E56000035,E99999999,E92000001,"198001",,E54000024,"24404",E06000042,51.9907646179199,E37000057,,-0.746142029762268,E01016713,E01016713,E02003489,E02003489,E40000007,E00084360,E00084360,6B3,E99999999,"486192","1",E18000009,E06000042,"0233220",E05009407,E04012194,E65000001,MK3 5AJ,MK3  5AJ,MK3 5AJ,E14001141,E23000029,E12000008,C1,UN1,E38000249,E30000243,"0",E33040617
"991616",E630,E35000902,E56000035,E99999999,E92000001,"198001",,E54000024,"24404",E06000042,51.9911918640137,E37000057,,-0.745809972286224,E01016713,E01016713,E02003489,E02003489,E40000007,E00084359,E00084359,5A2,E99999999,"486214","1",E18000009,E06000042,"0233268",E05009407,E04012194,E65000001,MK3 5AL,MK3  5AL,MK3 5AL,E14001141,E23000029,E12000008,C1,UN1,E38000249,E30000243,"0",E33040617
"991617",E630,E35000902,E56000035,E99999999,E92000001,"198001",,E54000024,"24404",E06000042,51.9915313720703,E37000057,,-0.745537996292114,E01016713,E01016713,E02003489,E02003489,E40000007,E00084359,E00084359,5A2,E99999999,"486232","1",E18000009,E06000042,"0233306",E05009407,E04012194,E65000001,MK3 5AN,MK3  5AN,MK3 5AN,E14001141,E23000029,E12000008,C1,UN1,E38000249,E30000243,"0",E33040617
